Year,Section,Topic,Question,Marks,Answers
2017,Section B,Independence and Partition,(c) To what extent was the relationship between Pakistan and its neighbour Afghanistan successful from 1947 to 1999?,14,"During Zahir Shah’s time in office relations between Afghanistan and
Pakistan were friendly and during the 1965 War remained neutral despite
pressure from other powers.
There were good relations when an Islamic foreign policy was introduced,
leading to visits between both countries by Bhutto and later Zia-ul-Haq
and Daud in 1970’s.
There was humane treatment in Pakistan of Afghan refugees following
outbreak of Afghan–Russian War. Afghanistan had territorial claims to part of the North West Frontier
Province (NWFP) following establishment of Pakistan in 1947.
Afghanistan voted against Pakistan joining UN in 1947.
Afghanistan did not always adhere to a trade agreement with Pakistan; Diplomatic relations between the two countries were withdrawn in 1955
but later renewed.
During the Afghan–Russian War, planes entered Pakistani airspace and
some of the Pakistani frontier areas were bombed.
After the war, law and order was hard to restore in Afghanistan; problems
spread into the border region relating to drugs, armed robberies,
kidnappings and gun battles between rival gangs.
There was an increase in Islamic militancy following support given to the
Taliban in Afghanistan."
2018,Section A,Zulfiqar Ali Bhutto,"(a) According to Source A, what were the effects of the High Court judgement regarding Zulfiqar Ali Bhutto on the people of Pakistan?",3,"People were stunned.
There were arrests.
Some people died in clashes.
There was strong opposition.
There were strikes.
There were peaceful protests.
There were demonstrations."
2018,Section A,Zia-ul-Haq and Islamization,(b) How does Source B help us to understand the way Zia-ul-Haq governed Pakistan?,5,"Zia-ul-Haq is firmly in charge of Pakistan. This can be seen by him
wearing a military uniform.
He is a figure of power / authority / determination / vision / decisiveness /
commitment. This can be seen by him raising his arm / pointing his finger.
He wants to display his power. This can be seen by the decorative
surroundings which emphasise the power and majesty of the office of the
President.
He wants his message to be heard / he believes what he is saying is very
important / communication is very important. This can be seen by the
many microphones in front of him.
He used martial law to demonstrate control, which was enhanced by the
passing of the Eighth Amendment in 1985."
2018,Section A,Zia-ul-Haq and Islamization,(c) Why did Zia-ul-Haq introduce his Islamisation reforms?,7,"To produce a strong and stable government managed by people
committed to Islamic values.
He wanted to provide a counter to Zulfiqar Ali Bhutto’s socialist
government which he saw as liberal / westernised.
He made the Islamic laws strict in order to produce a strong government
by imposing a strict legal code.
He wanted to implement laws which punished people for showing
disrespect towards the Prophet and ensured that Islamic education was
implemented in schools to raise Islamic awareness.
He wanted to distribute some wealth to the poor and needy by introducing
Islamic taxes following Islamic principles. "
2018,Section A,Zia-ul-Haq and Islamization,(d) How successful was Zia-ul-Haq’s foreign policy between 1978 and 1988? Explain your answer.,10,"Pakistan’s relationship with China was strengthened in 1978 with the
opening of the Karakoram Highway between the two countries, opening
up huge areas of both countries to trade and tourism.
Pakistan received support from the West to assist Afghan fighters in their
conflict with Russia in 1979. The USA gave Pakistan $3.2 billion over six
years to help cope with the influx of refugees from Afghanistan (the
Afghan Miracle).
Negotiations between Pakistan and Bangladesh on tourism, culture and
trade, brought an extra $40 billion a year into Pakistan by 1986. Pakistan became a target of Russia as a result of supplying Afghans with
arms. Border villages were bombed and a series of explosions happened
across the country.
Threats to law and order as a consequence of the Afghan Miracle."
2018,Section B,General History,2 (a) Who was Titu Mir?,4,"Syed Mir Nisar was a Bengali.
He reinforced traditional Muslim values.
He was determined to free Bengal from British rule.
He organised a stand against zamindars.
He set up his own rule near Calcutta with a small army.
He built a bamboo fort at Narkelbaria in 1831 and defeated the British
troops sent to destroy it.
He was killed in battle in 1831. "
2018,Section B,Sir Syed Ahmed Khan & Aligarh Movement,(b) Explain why Sir Syed Ahmad Khan tried to improve relations between the Muslim community and the British.,7,"Sir Syed Ahmad Khan wanted to improve their social and economic
conditions by taking up posts in the civil service and the army. In order to
do this, the Muslim community needed to embrace the British-styled
education system, which would open the door to these roles.
If the Muslim community did not do these things and foster good relations
with the British, then they may see the Hindu community prosper at their
expense.
He wrote The Loyal Mohammadens of India to prove to the British that
the Muslim community could be trusted after the War of Independence."
2018,Section B,War of Independence 1857,(c) Was religion the most important reason for the War of Independence in 1857? Give reasons for your answer.,14,"Christian missionaries came to India to convert the local population and
set up schools. In these schools, the missionaries taught Christianity and
expected local religions to be given up which was resented by the
Muslim, Hindu and Sikh communities.
The British introduced a new gun that used cartridges coated in grease
made from cow and pig fat. The soldiers had to rip open the cartridges
with their teeth before loading. This caused great resentment as it was
contrary to religious beliefs for both Muslim and Hindu communities and
united them against the British. The replacement of Persian and Sanskrit by English as the official
language in the 1830s deeply upset both the Muslims and Hindus as they
felt that their culture was being threatened.
The British imposed reforms on the Indian population such as
abandoning purdah / suttee without consultation. This caused much
unrest as it appeared that the British were trying to impose their culture
on centuries of Indian customs, which was resented. (Purdah / suttee
may also be seen as religious reasons.)
In 1852 the ‘Doctrine of Lapse’ was introduced and caused great unrest
because any local kingdom not having a direct male heir had their lands
taken over by the British. "
2018,Section B,General History,3 (a) What was the Swadeshi Movement?,4,"A boycott of British goods by Hindus during / because of the Partition of
Bengal, 1905–11.
British cloth was thrown onto bonfires.
The Hindu community wore locally produced clothes.
There were a series of strikes by Indian workers, e.g. in Calcutta."
2018,Section B,Sir Syed Ahmed Khan & Aligarh Movement,(b) Explain why the Muslim community felt it necessary to form their own political party in 1906.,7,"They felt that Muslim rights would not be advanced if they continued to
rely on the Indian National Congress (Congress) which was seen as an
organisation that promoted views of the Hindu community.
Congress was demanding that India should be treated as a cultural whole
and Hindi should be declared the official language.
Congress opposed the Partition of Bengal and the Muslim community
realised that Hindus would achieve its reversal, so wanted their own
political party to safeguard their interests as Congress was not doing this.
The growth of Hindu nationalist groups demanding that Muslims be
forcibly converted to Hinduism.
The Simla Agreement showed that Muslims were a separate community
and needed their own political party."
2018,Section B,General History,(c) Was the First Round Table Conference of 1930 more successful than the two that followed in 1931 and 1932? Explain your answer.,14,"Federal system for India approved as the Princes declared they would
join a future federation as long as their rights were recognised. Congress attended which was a step forward, although this had been
made possible only through talks between Gandhi and the Viceroy Lord
Irwin. Congress boycotted the talks and without them representing the majority
of Indians, progress could not be made. Gandhi was seen as being stubborn, taking a hard line in the talks, and
refusing to recognise the problems of the minorities. He advanced the
argument that he spoke for all Indians with which Jinnah disagreed. Congress was absent again as Gandhi and Nehru had been imprisoned
due to the renewal of the non-cooperation movement, so Congress
boycotted the talks. There were three Round Table Conferences (RTC) held in London.
Both Gandhi and Jinnah attended some of the RTC’s but not necessarily
at the same time.
Congress did not attend the first RTC and began non-cooperation
programme.
The Muslim community felt the first RTC was a success.
At the first RTC the Princely States declared they would join a future
federal system for India.
The British agreed at the first RTC that representative government should
be introduced at provincial level.
Congress attended the second RTC.
Agreement that the NWFP and Sindh should be made provinces was
made at the second RTC.
Gandhi was seen as refusing to recognise the problems of the minorities.
Congress boycotted the third RTC.
The Princes also boycotted the third RTC.
Jinnah went into voluntary exile.
Nothing of importance was agreed at the third RTC."
2018,Section B,Independence and Partition,4 (a) What was the Radcliffe Award?,4,"Sir Cyril Radcliffe chaired the Radcliffe Award and gave his name to it.
It established the new borders of India and Pakistan in 1947, particularly
in Bengal and the Punjab.
He had four assistants, two nominated by the Muslim League and two by
Congress.
The results were announced on 16 August 1947. "
2018,Section B,General History,(b) Explain why Pakistan has given continued support to the Palestinian cause.,7,"Pakistan is a member of the Organisation of Islamic Cooperation (OIC)
which aims to promote harmony and co-operation between Muslim
nations and supports the agreement that the Palestinian issue is a matter
for all Islamic countries. Thus Pakistan supported the Palestinian cause.
The incident of the Al-Aqsa Mosque was discussed at the first meeting of
the OIC and support was immediately offered to the Palestinians. At the
summit in Lahore in 1974, more specific support was given. "
2018,Section B,Khilafat & Non-Cooperation Movement,(c) Were the Gandhi–Jinnah talks the most important factor during the 1940s that led to the partition of the subcontinent in 1947? Give reasons for your answer.,14,"It was an important meeting as Gandhi had been forced to negotiate with
the Muslim League on an equal footing for the first time regarding the
future of India.
Gandhi wanted to achieve independence first – partition discussions
could follow later – whereas Jinnah wanted to settle the issue of partition
first and before the British left. He knew that his bargaining position would
be much weaker if he went along with Gandhi’s plan. The Lahore Resolution, 1940 drafted by the 25-man All-India Muslim
League asked for greater Muslim autonomy within India; this was seen as
a demand for a separate Muslim state. From then on, the aims of the
Muslim League were clear: an independent nation state.
The results of the 1945–46 elections demonstrated that Congress had
control of the non-Muslim votes but that the League had gained control of
the Muslim vote. The Muslim League was now an equal player to
Congress so the demand for Partition could no longer be ignored by
Congress or the British government.
In March 1946, members of the British Cabinet Mission arrived in India to
work out a plan for achieving independence for India as a federation
which the Muslim League accepted but Congress refused to accept the
province groupings and stated that they would not be bound by any
British plan. The British government decided to form an interim
government headed by Nehru joined by members of the Muslim League.
As the Muslim League were concerned that the British would leave India
without organising a settlement and that Congress would be left to
organise a new country, they organised a Direct Action Day in the
summer of 1946 with the aim of stopping the British government giving in
to Congress. The disruption worried the British, so gradually they shifted
their position on Partition."
2018,Section B,General History,5 (a) What was CENTO?,4,"Originally the Baghdad Pact formed in 1955 with Turkey and Iraq. Later
that year Pakistan, Iran and Britain joined to establish an anti-Communist
alliance against the Soviet Union.
All except Britain were Muslim countries.
Pact renamed CENTO (Central Treaty Organisation) after Iraq left in
1959.
Never developed a permanent structure or system for raising troops for
mutual defence and was dissolved in 1979.
USA supported the organisation but did not become a member."
2018,Section B,Objective Resolution 1949,(b) Explain why there was a constitutional crisis in 1958.,7,"There were a number of Prime Ministers between 1956 and 1958 and it
reached a stage where Ayub Khan felt the army should take control until
stability had been restored.
Previous governments endured a number of problems that hampered
development such as food shortages and a drought, which led to
demonstrations of discontent. As successive governments found difficulty
in dealing with these matters, there were many personnel changes to try
to find a solution. As a result, little constitutional development could take
place.
Iskander Mirza lost the support of many of the leading politicians and was
alarmed at a plan by Prime Minister Suhrawardy to unite the political
leadership of Bengal and Punjab against him. There were many Prime Ministers between 1956 and 1958 / the
government was unstable.
Drought and food shortages presented a challenge to development.
Iskander Mirza lost support. "
2018,Section B,Zulfiqar Ali Bhutto,(c) Were the challenges facing Benazir Bhutto in Sindh the main reason why she left office in 1990? Explain your answer.,14,"Well educated muhajirs opposed the special rights for Sindhis introduced
by Benazir Bhutto and increasingly supported the Muhajir Quami
Movement (MQM).
Sindh was an area of growing opposition to the Pakistan People’s Party
(PPP) and growing support for the MQM.
Benazir Bhutto tried in vain to gain the support of the MQM to form a
coalition government by promising to protect the interests of all the
people of Sindh. Her government was damaged by an unsuccessful no-confidence motion
tabled by opposition parties including Islami Jamhuri Ittehad (IJI) led by
Nawaz Sharif.
President Ghulam Ishaq Khan refused to appoint the judges and military
personnel she wished, making it difficult for her to govern Pakistan
effectively.
Promised economic development programmes and social and health
reforms did not produce the effects hoped for. The government lost
support as unemployment, inflation and population grew rapidly making
progress difficult.
Accusations from political opponents regarding mismanagement leading
to the arrest and jailing of her husband Asif Ali Zardari. Further rumours
weakened the government enabling President Ghulam Ishaq Khan to use
the Eighth Amendment to dismiss the government in 1990."
2019,Section A,General History,"(a) According to Source A, why did many people die at Fort William in 1756?",3,"Several were already wounded.
Conditions in the cell were dirty, would have infected soldiers’
wounds.
Lack of fresh air / suffocation.
Lack of water / dehydration.
Trampled to death trying to reach water / fresh air.
Crushed to death in overcrowded cell.
Guards showed no interest in prisoners’ welfare."
2019,Section A,General History,(b) What can we learn from Source B about famine in the subcontinent during British control?,5,"Food was being given to a man who looks very weak suggesting that
the famine has been going on for a long time.
The problem of hunger was widespread because many people of
different ages, men, women and children, were affected and were
waiting for relief.
Famine must have been a serious problem because relief has been
organised.
People are looking underfed / malnourished and are waiting for the
distribution of food which is being given out to these people in the
source.
The man in the bowler hat is an official observing / involved in or
supervising the process, which shows that the British were involved with
the distribution of relief. "
2019,Section A,Mughal Empire,(c) Explain why Robert Clive was successful in the Battle of Plassey in 1757.,7,"Clive persuaded one of the Nawab’s key men, Mir Jafar, to side with the
British. Jafar’s defection weakened the Nawab’s army, which Clive was
able to use to his advantage.
Clive ordered his men to cover their cannon when it rained. So, the dry
cannons of Clive’s army outfired the Nawab’s cannons.
Clive was an experienced soldier as he had fought the French in
southern India. He was used to the tactics of warfare, this helped to
defeat the Nawab. "
2019,Section A,Kashmir Dispute,(d) Was the India Act of 1784 the main reason why the British were able to expand beyond Bengal between 1784 and 1850? Explain your answer.,10,"This made the position of Governor General a royal appointment. Lord
Cornwallis was appointed to this position in 1786.
A Board of Control replaced the East India Company’s Board of
Directors, changing it from a trading concern to a sovereign body in
which the Crown had direct control of Bengal.
A police system was developed to help in the administering of justice
and maintaining law and order. Lord Cornwallis introduced the Permanent Settlement in 1793 making
zamindars of Bengal landowners, subject to their payment of a fixed
sum to the British. In 1793 this amounted to some 10% of the total sum
collected by the zamindars. The Permanent Settlement secured the
financial interest of the East India Company and helped Bengal to
become the wealthiest province in India, allowing the British to extend
their control.
Local rulers were persuaded to sign subsidiary alliances by Lord
Wellesley who became Governor General in 1798. The local ruler
continued to run their affairs while British soldiers offered protection. In
return for this protection the ruler paid towards the cost of the soldiers
and accepted a British resident adviser. This consolidated Britain’s
power in India at little cost and extended British control.
The annexation of land. Hyderabad and Oudh accepted British
protection with a subsidiary alliance. Mysore, Oudh, Delhi and the
Marathas came under British control by the early nineteenth century,
followed shortly afterwards by Sindh and the Punjab. "
2019,Section B,General History,2 (a) Who was Ahmad Shah Durrani?,4,"Known also as Ahmad Shah Abdali, an Afghan leader, a military genius
who had excellent tactical skills.
He beat the Marathas at the battle of Panipat in 1761, which ended the
ambitions of the Marathas.
Durrani was unable to make the most of his victory; as his followers
mutinied he gave up his idea of an Indian empire and returned to
Kabul. "
2019,Section B,Kashmir Dispute,(b) Explain why the British wanted to trade in India from 1600.,7,"Reports of immense wealth in the subcontinent led to the British
establishing a trading base there as they saw a profitable future.
The British wanted to establish their influence in the subcontinent and
to oust the Dutch and Portuguese.
The British also wanted to establish a strategic port in the subcontinent
that would protect its trading interests there and in the Far East. "
2019,Section B,General History,(c) Did Syed Ahmad Barelvi contribute more to the spread of Islam than anyone else in the subcontinent before 1840? Explain your answer.,14,"Syed Ahmad Barelvi spread Islam through the Jihad Movement, which became an armed
struggle to liberate the Punjab and the NWF from non-Muslim 
oppression and was the first example of a movement to restore Muslim
power.
As at this time the Muslim community were not allowed freedom of
worship, the mujahideen fought campaigns to achieve religious and
spiritual freedoms.
His work was a uniting force for Muslim groups and an inspiration. Haji Shariatullah spread Islam through the Faraizi Movement, which removed Hindu
practices from worship and called on Muslim groups to perform their
proper observation of Islamic duties (faraiz).
Aimed to restore the pride of the Muslim community. A huge group of
followers grew called ‘Faraizis’.
The movement alarmed the Hindu landlords of East Bengal, as the
Faraizis in Bengal united against the treatment they had received. Shah Waliullah believed the Muslims faced problems because of their incomplete
knowledge of Islam and the Holy Quran. To reverse the decline in
Muslim power he taught that there needed to be spiritual and moral
regeneration based upon the principles of Islam.
He encouraged the Muslim community to concentrate on Quranic
teachings and translated the Holy Quran into Persian, which was the
main language of Muslim groups at that time.
He wrote many books, which were designed to spread the principles of
Islam amongst the Muslim community in order to unite them. He aimed
to provide the inspiration for Muslims to lead a pure life."
2019,Section B,General History,3 (a) Who was Lord Wellesley?,4,"Governor General of India in 1798.
Wellesley persuaded local princes / rulers to sign subsidiary alliances.
Local rulers were also forbidden to make any other alliances.
In 1799 Wellesley invaded Mysore killing Tipu Sultan and gaining control
of his lands.
Wellesley also defeated the Nawabs of Oudh and took control of their
territory."
2019,Section B,War of Independence 1857,(b) Why did the War of Independence of 1857 not succeed?,7,"The Indian population were not united in a common cause.
The Punjab was uninterested in helping the rebellion and actually sent
men and supplies to help the British as they did not want imperial power
restored.
This also happened in Kashmir where the ruler sent 2000 troops to help
the British as this benefitted his own feudal powers.
The British had modern methods of fighting and the army was well
organised as well as being supplied by some of the local rulers."
2019,Section B,War of Independence 1857,(c) Were Sir Syed Ahmad Khan’s religious views his most important contribution to the Muslim cause after 1857? Explain your answer.,14,"He believed relations with the British could be improved by improving
the understanding of Christianity by Muslim groups. He tried to
overcome this by writing Tabyin-ul-Kalam, in which he pointed out the
similarities between Islam and Christianity.
He was also aware that the British knew little about Islam. After reading
a book in Britain on the life of the Prophet, he wrote his own work
correcting the many errors he had read. In 1863 he founded the Scientific Society at Ghazipore. He wanted to
make scientific writings available to Muslims by translating them from
English into Urdu.
He established a Muslim college, which led to the Muslim-Anglo Oriental
College in 1876. This became the University of Aligarh, which became
important as it educated many future leaders.
Improving the position of the Muslim community in society through
encouraging a Western education. He recognised that the Muslim community could not win any election
because of the Hindu majority population, so he advocated separate
seats and a separate electorate, which was the forerunner of the future
demand for a separate homeland.
His books following the War of Independence attempted to restore
British understanding about the Muslim community. He showed that
there were Muslim supporters of the British government. He gave
explanation of the word ‘Nadarath’ and suggested that the British should
try to understand Muslim groups better. Sir Syed was concerned that the Hindu community demanded that Hindi
should be made the official language in 1867 in place of Urdu. He
became opposed to the way that Congress was working for the interests
of Hindus in a way that was detrimental to the Muslim community. This
led to the formation of the United Patriotic Alliance.
Sir Syed emphasised this threat to the Muslim community and
developed his Two Nation Theory, as a result many Muslim groups
called him the ‘Father of the Pakistan Movement’."
2019,Section B,General History,4 (a) Who was Rahmat Ali?,4,"In 1930 he left India to study law at Cambridge.
Attended conferences in London on the position of the Hindu and
Muslim communities in India.
Believed in a separate Muslim homeland.
In 1933 he produced a pamphlet, ‘Now or Never’, which argued in
favour of partition.
Became popular amongst most Muslim groups during the 1930s.
Formed the Pakistan National Movement.
Developed the name of Pakistan."
2019,Section B,Sir Syed Ahmed Khan & Aligarh Movement,(b) Explain why the Muslim community objected to the rule of the Congress party between 1937 and 1939.,7,"The erosion of Muslim identity and culture. Muslims were forbidden to
eat beef and received harsh punishments if they slaughtered cows.
Hindi was enforced as the official language and organised attacks were
made on mosques. This made the Muslim community feel that their
language and religion were being made worthless.
Bande Matram, a nationalistic Hindu song, was adopted. It encouraged
Hindus to expel Muslims from ‘Hindustan’. Singing of the song was
made compulsory before the start of business every day in the
provincial assemblies.
Another scheme, the Widdia Mandar scheme, indirectly aimed to
convert all non-Hindus to Hinduism. It was introduced in all schools and
colleges. It promoted Hindu myths and heroes, adopting them as
national icons. Muslim groups felt it was an attempt to subvert their
faith.
The Wardha scheme was a new educational policy that required
students to bow before Gandhi’s picture each day. Spinning cotton by
hand was introduced into the school curriculum. Teaching was in Hindi
with no religious education, which meant that Muslim students were at
a disadvantage and again they felt this was a covert attempt at
conversion by Congress."
2019,Section B,Khilafat & Non-Cooperation Movement,(c) Was the Moplah uprising in 1921 the main reason for the end of the Khilafat Movement? Explain your answer.,14,"Moplahs were deeply religious Muslims who rose up against their
Hindu landlords and the British in South India. Their activities
destroyed a police station and Hindu property. This action divided
Hindus and Muslims and put in doubt Hindu cooperation in the Khilafat
Movement. 18 000 Muslim people migrated to Afghanistan (hijrat) to protect and
foster Islam after a promise of homes and land. However the Afghan
government did not welcome the hijrats and refused many of them
entry. Many of those returning to India died on the journey back or they
found themselves homeless and their jobs occupied. This was
dispiriting for the Muslim community and support for the Khilafat
Movement was lost.
Some of the leaders including Maulana and Muhammad Ali were
imprisoned in 1921, which made the organisation less effective.
Gandhi had seen an opportunity for self-rule by joining the Movement
and the involvement of the Hindu community was initially welcomed by
many Muslims. However, this made the objectives of the Movement
less clear since it was felt that Hindu groups and Gandhi were using it
to advance their own interests, not those of the Muslim community.
The Chauri Chaura incident of violence between protesters and the
police led Gandhi to withdraw his support from the Khilafat Movement.
This left Muslim groups to continue the work of the Movement alone
which, combined with the imprisonment of their leaders and the Hijrat,
was challenging.
The end of the Movement was also brought about by the decision of
the Muslim Mustafa Kamal Ataturk to form a nationalist government in
Turkey. Muslim groups now had no cause to follow."
2019,Section B,General History,5 (a) Describe the Zakat Ordinance.,4,"In 1980, Zia-ul-Haq imposed a 2.5% wealth tax on savings over a
certain amount.
Money raised was given to Zakat committees in villages and towns for
the poor.
Some Muslim groups protested against this since their view of Islamic
law was that giving should be voluntary.
In 1984, these groups held demonstrations in Islamabad forcing Zia-ulHaq to accept their objections and exempt them from paying the tax. "
2019,Section B,General History,(b) Explain why there were many governments between 1951 and 1958.,7,"Jinnah died in 1948 and Liaquat Ali Khan was assassinated in 1951
without these experienced figures it was more difficult to establish a
stable government.
The problems of running a new country were very difficult to overcome,
especially as some of the joint assets were withheld after partition.
Relations with India were strained with no agreement on Kashmir.
Food shortages followed a drought 1951-53. This, combined with an
economic slump, led to rioting which forced changes in the cabinet.
Resistance to the One Unit Policy from East Pakistan contributed to a
loss of support for Iskander Mirza’s government. "
2019,Section B,General History,(c) Were the economic reforms of Ayub Khan the most important of his domestic policies in the ‘Decade of Progress’ between 1958 and 1969? Explain your answer.,14,"The land of smaller farmers was redistributed to farmers with medium
sized farms and agriculture was revitalised to such an extent that crop
outputs were at record levels.
In 1962, an oil refinery was established in Karachi and a Mineral
Development Corporation was set up for the exploration of mineral
deposits which contributed significantly to the economy.
An Export Bonus Scheme was set up offering incentives to
industrialists who increased exports.
The national economic annual growth rate was 7% and the economy
grew three times faster than that of other South Asian countries.
However, the new wealth was concentrated in the hands of a few and
did not bring widespread benefits. The government set about improving housing for refugees. A massive
new housing development provided new homes for refugees in
Karachi, which had a beneficial effect on the lives of these people.
Family Planning Programme used the media to persuade people to
limit family size to slow population growth rates.
In 1959, Basic Democracies were introduced. This was a four tier
structure of government, allowing elections at various levels. The
success of these councils was such that martial law was lifted.
People were prevented from hoarding goods and selling them on at
inflated prices. Profiteers had their goods confiscated and many were
arrested. As a result, this action brought prices of many goods down
and that benefitted people.
The price of milk and other goods were fixed to stop profiteering which
helped families to manage their weekly budget better. "
2020,Section A,General History,(a) According to Source A what were the personal characteristics of Robert Clive?,3,A brave and courageous soldier. A man of initiative. He showed leadership and was determined. He was reckless and unprincipled. He behaved badly. He gambled and took risks in battle. He put his men's lives in danger. He was devious and sly in battle. He was cruel. He was immoral. He was greedy.
2020,Section A,Kashmir Dispute,(b) What can we learn from Source B about the treatment of Indian hostages during the Mysore Wars?,5,"This looks like a ceremony with well-dressed people who are standing in their places, welcoming the hostages. This indicates respect, deference, and care for them. The painting shows Lord Cornwallis shaking or holding the hand of one of the hostages he is greeting. It appears to be a formal and public event of great importance or significance. The painting depicts Lord Cornwallis receiving Tipu Sultan’s sons as hostages to ensure that Tipu Sultan pays according to the terms of the treaty. This painting is intended to portray Cornwallis as gentle, humane, and benevolent by the way he is treating the hostages, so it could be used as propaganda. We do not know if all hostages were treated with such respect, nor whether this scene accurately reflects what actually took place. Presumably, the young princes would have been frightened."
2020,Section A,Kashmir Dispute,(c) Explain why the East India Company was interested in the subcontinent in the years before 1750.,7,"The British wanted to establish their influence in the subcontinent and to remove the presence of the Dutch and Portuguese who were already competing for control. They also aimed to set up a strategic port in the subcontinent to safeguard their trading interests both locally and in the Far East. Furthermore, reports of immense wealth in the subcontinent encouraged the British to establish a trading base there, as they believed it would lead to a profitable future."
2020,Section A,War of Independence 1857,(d) To what extent were economic reforms the main cause of the War of Independence in 1857? Explain your answer.,10,"One important cause of the War of Independence in 1857 was the economic reforms introduced by the British, which created widespread hardship and resentment. The British imposed high taxation in order to extract wealth from India. This burden fell heavily on peasants and small landowners who were unable to pay the taxes, resulting in poverty, starvation, and deep resentment. Many communities who relied on cotton production also suffered due to the British ban on cotton exports in 1800. This policy not only destroyed livelihoods but also increased hostility towards British rule. Additionally, the Sepoys, who were essential to the British military, felt economically oppressed. Their salaries were low, they were rarely promoted, and they were often denied extra pay for service in newly conquered regions like Sindh. This unfair treatment led to growing discontent within the army.

However, economic issues were not the only reason for rebellion. Cultural and religious interference also played a significant role in provoking anger across Indian society. The replacement of Persian and Sanskrit with English as the official language in the 1830s offended both Muslim and Hindu communities as it threatened their traditions and made it harder for many to secure jobs. Religious customs were also ignored; for example, Muslim women were forced to abandon purdah, a move that deeply offended many families. Another major cause of unrest was the introduction of the ‘Doctrine of Lapse’, which allowed the British to annex any kingdom without a direct male heir. This policy threatened the power and autonomy of Indian rulers. Furthermore, the introduction of the new rifle with cartridges greased with cow and pig fat directly insulted both Hindus and Muslims. Sepoys were required to bite the cartridges, which went against their religious beliefs, leading to widespread refusal and anger.

In conclusion, while many factors contributed to the outbreak of the War of Independence, the economic reforms were especially significant because they affected a broad section of the population including soldiers, farmers, and artisans. However, the cultural and religious insensitivity of British policies further united different communities in opposition. Therefore, it was the combination of economic exploitation and religious interference that created the explosive conditions necessary for rebellion."
2020,Section B,General History,2 (a) Who was Mir Qasim?,4,"Mir Qasim became the Nawab of Bengal in 1760, succeeding Mir Jafar.
With the support of the East India Company, he confiscated lands and wealth from the people of Bengal and handed them over to the British.
Eventually, Mir Qasim tried to resist and reduce British influence in Bengal.
In 1764, he fought against the British under Robert Clive at the Battle of Buxar but was defeated."
2020,Section B,General History,(b) Explain why Britain was able to expand into the subcontinent between 1750 and 1850.,7,"The building of railways meant that soldiers could be transported more easily around the country, helping the British to establish control. Trade also benefitted from improved communication across regions.

The battles of Plassey and Buxar gave the British control of Bengal and favourable trading rights with the local nawabs. This allowed the British to access new resources, which they used to strengthen and consolidate their rule.

The British introduced Governor-Generals into the provinces, who administered their regions following British systems. This gave them more direct control and allowed for further expansion of British influence in the subcontinent."
2020,Section B,Mughal Empire,(c) Were the policies of Aurangzeb the main reason for the decline of the Mughal Empire? Explain your answer.,14,"Aurangzeb's Policies
One key reason for the decline of the Mughal Empire was the religious and administrative policies of Aurangzeb. He introduced a tax on non-Muslims called the Jizya, which was seen as discriminatory and unfair. In addition, he ordered the destruction of Hindu temples and attempted to ban Hindu practices. These decisions significantly reduced his popularity among his Hindu subjects and sparked several insurgencies during his reign, weakening internal unity.

Aurangzeb also imposed high taxation to fund costly military campaigns such as the Deccan Wars. These taxes placed a heavy burden on the population and increased resentment towards the Mughal government. As a result, opposition to his rule began to grow, making it difficult to maintain stability and control.

Other Reasons
After Aurangzeb's death, the Mughal Emperors who followed were known for their extravagant lifestyles. They spent money lavishly without concern for the Empire’s finances, which contributed to a weakening economy and made the Empire more vulnerable to internal and external threats.

Another major issue was the lack of a clear system of succession. Without a fixed line of succession, there were constant power struggles and in-fighting between Aurangzeb’s successors. This led to political instability and weakened the central authority of the Empire.

Additionally, the rise of strong regional powers such as the Marathas posed a significant challenge. The Marathas were skilled Hindu warriors who defeated a Mughal army in 1737 and took control of Delhi along with vast territories stretching towards Bengal. By 1760, the Mughals were powerless to stop them.

Finally, the Mughal military was outdated in comparison to that of the British. As the British expanded rapidly across the subcontinent, the Mughals lacked both the resources and the modern equipment to resist them effectively. This made it easier for the British to take control and further contributed to the decline of the Empire.

Evaluation
In conclusion, while Aurangzeb’s policies did play a significant role in initiating the decline of the Mughal Empire by creating division and unrest, the broader collapse of the Empire was also due to a combination of poor leadership after his death, economic mismanagement, military inferiority, and the rise of rival powers like the Marathas and the British. The decline was not caused by one factor alone but by a series of interconnected problems that weakened the Mughal Empire over time."
2020,Section B,General History,3 (a) Who was General Dyer?,4,"General Dyer was a British commander in India. In early 1919, after demonstrations in Amritsar, he moved troops there to restore order following riots. On April 13th, 1919, Dyer ordered his troops to confront a peaceful gathering of thousands of people in the Jallianwala Bagh, a public park. The troops opened fire, killing many people. As a result of his cruel actions, Dyer was later removed from command."
2020,Section B,Khilafat & Non-Cooperation Movement,(b) Explain why the Khilafat Movement ended in 1924.,7,"Gandhi called off his support for the Khilafat Movement following the Chauri Chaura incident. This caused both Muslim and Hindu groups to stop working together to further the Movement, weakening its strength and momentum.

In 1920, many Muslims set off on a hijrat to Afghanistan, hoping to find refuge. However, the Afghan government did not welcome them as they had expected. When the migrants returned home, they found their property and jobs had been occupied, which reduced their interest in supporting the Movement. For them, it was more important to restore their lives to normality.

The new Turkish leader, Kemal Ataturk, played a crucial role in ending the Khilafat Movement. He exiled the Khalifa and abolished the institution of the Caliph in 1924, bringing an end to the Movement."
